name,score,status
CCN[C@@H]1[C@@H]2CC[C@@H](C2)[C@@H]1c1ccccc1.CCN[C@@H]1[C@@H]2CC[C@H](C2)[C@@H]1c1ccccc1.CCN[C@@H]1[C@H](c2ccccc2)[C@@H]2CC[C@@H]1C2.CCN[C@@H]1[C@H](c2ccccc2)[C@H]2CC[C@@H]1C2.CCN[C@@H]1[C@H]2CC[C@@H](C2)[C@@H]1c1ccccc1.CCN[C@@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1.CCN[C@@H]1[C@H]2CC[C@H](C2)[C@@H]1c1ccccc1.CCN[C@@H]1[C@H]2CC[C@H](C2)[C@H]1c1ccccc1.CCN[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1c1ccccc1.CCN[C@H]1[C@@H]2CC[C@H](C2)[C@@H]1c1ccccc1.CCN[C@H]1[C@H](c2ccccc2)[C@@H]2CC[C@@H]1C2.CCN[C@H]1[C@H](c2ccccc2)[C@H]2CC[C@@H]1C2.CCN[C@H]1[C@H]2CC[C@@H](C2)[C@@H]1c1ccccc1.CCN[C@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1.CCN[C@H]1[C@H]2CC[C@H](C2)[C@@H]1c1ccccc1.CCN[C@H]1[C@H]2CC[C@H](C2)[C@H]1c1ccccc1,0,FAIL
CSc1ccc2c(c1)[C@@H](N1CCN(C)CC1)Cc1ccccc1S2.CSc1ccc2c(c1)[C@H](N1CCN(C)CC1)Cc1ccccc1S2,2,FAIL
CCOC(=O)[C@@H]1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O.CCOC(=O)[C@H]1N=C(c2ccccc2F)c2cc(Cl)ccc2NC1=O,2,FAIL
O=C([O-])[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.O=C([O-])[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O.[K+].[K+].[K+].[K+].[OH-].[OH-],3,PASS
CCOc1ccccc1OC[C@@H]1CNCCO1.CCOc1ccccc1OC[C@H]1CNCCO1,4,PASS
Cc1cccc(N2C[C@@H](CO)OC2=O)c1.Cc1cccc(N2C[C@H](CO)OC2=O)c1,4,PASS
CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1.CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,2,FAIL
CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21.CN1CCCC[C@@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21.CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@@](C)=O)cc21.CN1CCCC[C@H]1CCN1c2ccccc2Sc2ccc([S@](C)=O)cc21,1,FAIL
CN1CCN2c3ccccc3Cc3ccccc3[C@@H]2C1.CN1CCN2c3ccccc3Cc3ccccc3[C@H]2C1,2,FAIL
C=CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC.C=CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,2,FAIL
